,ROI,Behavior,Corr,p-value,nsamples,adjusted-p
344,Precuneus_R,Vineland-expressive_RAW_SCORE,0.2597803664250946,0.28217178282171784,15,0.873983398120365
716,Frontal_Mid_Orb_L,CBCL-som_prob_score,-0.25941649671427414,0.1765823417658234,15,0.774501989053431
608,Parietal_Sup_R,CBCL-sluggish_cogn_tempo_score,0.2586995368824594,0.1755824417558244,15,0.774501989053431
509,Precentral_L,CBCL-total_problems_score,0.25811321740055737,0.1351864813518648,15,0.735464915046957
835,Cerebelum_4_5_R,Vineland-inter_pers_rel_RAW_SCORE,-0.2577322382742294,0.18438156184381563,15,0.7745623132211273
1211,Frontal_Inf_Oper_R,"VSA DAS_SA,matrices_ABILITY_SCORE",0.2570718554802461,0.5053494650534947,15,0.9093692173199133
35,Postcentral_L,CBCL-aggr_behav_score,0.2568790756589971,0.19418058194180582,15,0.7805523172611106
553,Parietal_Inf_L,Vineland-domestic_RAW_SCORE,-0.256638284729697,0.07679232076792321,15,0.6677593110254192
48,Postcentral_L,CBCL-sluggish_cogn_tempo_score,0.25554466448145374,0.19458054194580543,15,0.7805523172611106
1088,Cerebelum_7b_R,CBCL-attention_hyper_prob_score,-0.25531167047308,0.5077492250774922,15,0.9108948260103568
291,Thalamus_R,CBCL-oppo_def_prob_score,-0.25486644387175766,0.37376262373762625,15,0.8764340957208628
1095,Cerebelum_7b_R,CBCL-obsessive_comp_prob_score,0.25483632697183245,0.14038596140385962,15,0.7473016956859447
564,Parietal_Sup_L,CBCL-attention_prob_score,-0.2542532180523133,0.47095290470952905,15,0.8982752950862952
383,Occipital_Mid_L,Vineland-receptive_RAW_SCORE,0.2540645328923342,0.412958704129587,15,0.8982752950862952
575,Parietal_Sup_L,CBCL-som_comp_score,0.25361991751113844,0.134986501349865,15,0.735464915046957
672,Frontal_Inf_Tri_R,CBCL-depressive_prob_score,0.25341887117156675,0.1827817218278172,15,0.7745623132211273
80,Frontal_Sup_L,CBCL-obsessive_comp_prob_score,-0.2533011683756166,0.7389261073892611,15,0.986185043973161
460,Occipital_Sup_R,CBCL-conduct_prob_score,0.25314655863167257,0.44175582441755823,15,0.8982752950862952
504,Precentral_L,CBCL-social_prob_score,0.25289047780444807,0.14358564143585642,15,0.7554153675541536
258,Frontal_Sup_R,CBCL-sluggish_cogn_tempo_score,0.25238979208044815,0.18198180181981802,15,0.7745623132211273
108,Frontal_Sup_Medial_L,CBCL-attention_hyper_prob_score,-0.252308003761632,0.5803419658034197,15,0.9306744010593214
1026,Cerebelum_10_R,CBCL-oppo_def_prob_score,0.2518855497913862,0.19138086191380863,15,0.7745623132211273
1119,Cerebelum_7b_R,Vineland-written_RAW_SCORE,-0.2516556972689988,0.049595040495950406,15,0.5828925304190892
828,Cerebelum_4_5_R,"VSA DAS_SA,seq_qr_ABILITY_SCORE",-0.25115502893770786,0.0231976802319768,12,0.4602279498077589
58,Postcentral_L,"VSA DAS_SA,seq_qr_ABILITY_SCORE",-0.25115502893770786,0.23697630236976303,12,0.8441903901212932
413,Occipital_Mid_R,Vineland-domestic_RAW_SCORE,-0.2507385540462557,0.275972402759724,15,0.8700475243955426
1358,Occipital_Inf_R,Vineland-domestic_RAW_SCORE,-0.2507385540462557,0.29517048295170484,15,0.8754957837549578
1396,Frontal_Mid_Orb_R,Vineland-personal_RAW_SCORE,-0.24889570439054154,0.1463853614638536,15,0.7554153675541536
767,Postcentral_R,Vineland-play_leisure_RAW_SCORE,-0.2485250608738542,0.2111788821117888,15,0.8045432015938192
